NDF-RT Code	NDF-RT Name
N0000175724	Central Nervous System Activity Alteration
N0000175728	Central Nervous System Depression
N0000175729	Central Nervous System Stimulation
N0000175730	Centrally-mediated Muscle Relaxation
N0000008351	Cerebral Arterial Vasoconstriction
N0000008352	Cerebral Arterial Vasodilation
N0000175396	Cerebral Arteriolar Vasoconstriction
N0000175380	Cerebral Arteriolar Vasodilation
N0000008353	Cervical Dilation Alteration
N0000008354	Cervical Function Alteration
N0000008355	Cervical Smooth Muscle Tone Alteration
N0000008356	Cholagogue Activity
N0000008357	Choleretic Activity
N0000008358	Cholesterol Absorption Alteration
N0000008359	Cholesterol Elimination Alteration
N0000008360	Cholesterol Metabolism Alteration
N0000010236	Cholesterol Secretion Alteration
N0000008361	Cholesterol Synthesis Alteration
N0000175977	Coagulation Activity Alteration
N0000008362	Coagulation Factor Activity Alteration
N0000008363	Coagulation Factor Alteration
N0000008364	Coagulation Factor Concentration Alteration
N0000008365	Collagen Formation Alteration
N0000008366	Collagen Formation Inhibition
N0000008367	Collagen Formation Promotion
N0000008368	Collecting Duct Water Permeability Alteration
N0000008369	Conduction System Depolarization
N0000008370	Conduction System Repolarization
N0000008371	Conjunctival Arterial Vasoconstriction
N0000008372	Conjunctival Arterial Vasodilation
N0000175400	Conjunctival Arteriolar Vasoconstriction
N0000175384	Conjunctival Arteriolar Vasodilation
N0000008373	Connective Tissue Alteration
N0000020051	Connective Tissue Permeability Alteration
N0000020053	Connective Tissue Permeability Alteration Decrease
N0000020052	Connective Tissue Permeability Alteration Increase
N0000008374	Coronary Arterial Vasoconstriction
N0000008375	Coronary Arterial Vasodilation
N0000175397	Coronary Arteriolar Vasoconstriction
N0000175381	Coronary Arteriolar Vasodilation
N0000008325	Corticotropin Releasing Hormone Alteration
N0000008324	CRH Activity Alteration
N0000008326	CRH Secretion Alteration
N0000008376	Cutaneous Arterial Vasoconstriction
N0000008377	Cutaneous Arterial Vasodilation
N0000175398	Cutaneous Arteriolar Vasoconstriction
N0000175382	Cutaneous Arteriolar Vasodilation
N0000008378	Cytoskeleton Alteration
N0000008381	Decrease Spermatogenesis
N0000008383	Decreased Acetylcholine Activity
N0000008384	Decreased Adhesion Factor Activity
N0000008385	Decreased Adhesion Factor Degradation
N0000008386	Decreased Adhesion Factor Production
N0000008387	Decreased Adrenal Epinephrine Secretion
N0000008388	Decreased Adrenal Norepinephrine Secretion
N0000008382	Decreased Adrenocorticotropic Hormone Secretion
N0000010235	Decreased Amino Acid Synthesis
N0000008389	Decreased Anal Sphincter Tone
N0000008390	Decreased Antibody Activity
N0000008391	Decreased Antibody Degradation
N0000008392	Decreased Antibody Production
N0000008393	Decreased Aspartate Activity
N0000175644	Decreased Autonomic Ganglionic Activity
N0000008394	Decreased Autonomic Nervous System Acetylcholine Activity
N0000008395	Decreased Autonomic Nervous System Aspartate Activity
N0000008396	Decreased Autonomic Nervous System Brain Derived Neurotropic Activity
N0000008397	Decreased Autonomic Nervous System CCK Activity
N0000008398	Decreased Autonomic Nervous System Disorganized Electrical Activity
N0000008399	Decreased Autonomic Nervous System Dopamine Activity
N0000008400	Decreased Autonomic Nervous System Dynorphin Activity
N0000008401	Decreased Autonomic Nervous System Endorphin Activity
N0000008402	Decreased Autonomic Nervous System Enkephalin Activity
N0000008403	Decreased Autonomic Nervous System Epinephrine Activity
N0000008404	Decreased Autonomic Nervous System GABA Activity
N0000008405	Decreased Autonomic Nervous System Gastrin Activity
N0000008406	Decreased Autonomic Nervous System Glutamate Activity
N0000008407	Decreased Autonomic Nervous System Glycine Activity
N0000008408	Decreased Autonomic Nervous System Histamine Activity
N0000008409	Decreased Autonomic Nervous System Nerve Growth Factor Activity
N0000008410	Decreased Autonomic Nervous System Neurotensin Activity
N0000008411	Decreased Autonomic Nervous System Nitric Oxide Activity
N0000008412	Decreased Autonomic Nervous System Norepinephrine Activity
N0000008413	Decreased Autonomic Nervous System Organized Electrical Activity
N0000008414	Decreased Autonomic Nervous System Serotonin Activity
N0000008415	Decreased Autonomic Nervous System Substance P Activity
N0000008416	Decreased Autonomic Nervous System VIP Activity
N0000182156	Decreased B Lymphocyte Activation
N0000008417	Decreased B Lymphocyte Destruction
N0000008418	Decreased B Lymphocyte Production
N0000008419	Decreased Biliary Motility
N0000008420	Decreased Bladder Contractility
N0000008421	Decreased Bladder Sphincter Tone
N0000178477	Decreased Blood Pressure
N0000175893	Decreased Blood Viscosity
N0000008422	Decreased Bradykinin Activity
N0000008423	Decreased Bradykinin Degradation
N0000008424	Decreased Bradykinin Production
N0000008425	Decreased Brain Derived Neurotropic Activity
N0000008426	Decreased Brain Stem Acetylcholine Activity
N0000008427	Decreased Brain Stem Aspartate Activity
N0000008428	Decreased Brain Stem Brain Derived Neurotropic Activity
N0000008429	Decreased Brain Stem CCK Activity
N0000008430	Decreased Brain Stem Disorganized Electrical Activity
N0000008431	Decreased Brain Stem Dopamine Activity
N0000008432	Decreased Brain Stem Dynorphin Activity
N0000008433	Decreased Brain Stem Endorphin Activity
N0000008434	Decreased Brain Stem Enkephalin Activity
N0000008435	Decreased Brain Stem Epinephrine Activity
N0000008436	Decreased Brain Stem GABA Activity
N0000008437	Decreased Brain Stem Gastrin Activity
N0000008438	Decreased Brain Stem Glutamate Activity
N0000008439	Decreased Brain Stem Glycine Activity
N0000008440	Decreased Brain Stem Histamine Activity
N0000008441	Decreased Brain Stem Nerve Growth Factor Activity
N0000008442	Decreased Brain Stem Neurotensin Activity
N0000008443	Decreased Brain Stem Nitric Oxide Activity
N0000008444	Decreased Brain Stem Norepinephrine Activity
N0000008445	Decreased Brain Stem Organized Electrical Activity
N0000008446	Decreased Brain Stem Serotonin Activity
N0000008447	Decreased Brain Stem Substance P Activity
N0000008448	Decreased Brain Stem VIP Activity
N0000008452	Decreased Calcitonin Secretion
N0000010253	Decreased Capillary Permeability
N0000008453	Decreased Cardiac Muscle Acetylcholine Activity
N0000008454	Decreased Cardiac Muscle Aspartate Activity
N0000008455	Decreased Cardiac Muscle Brain Derived Neurotropic Activity
N0000008456	Decreased Cardiac Muscle CCK Activity
N0000008457	Decreased Cardiac Muscle Disorganized Electrical Activity
N0000008458	Decreased Cardiac Muscle Dopamine Activity
N0000008459	Decreased Cardiac Muscle Dynorphin Activity
N0000008460	Decreased Cardiac Muscle Endorphin Activity
N0000008461	Decreased Cardiac Muscle Enkephalin Activity
N0000008462	Decreased Cardiac Muscle Epinephrine Activity
N0000008463	Decreased Cardiac Muscle GABA Activity
N0000008464	Decreased Cardiac Muscle Gastrin Activity
N0000008465	Decreased Cardiac Muscle Glutamate Activity
N0000008466	Decreased Cardiac Muscle Glycine Activity
N0000008467	Decreased Cardiac Muscle Histamine Activity
N0000008468	Decreased Cardiac Muscle Nerve Growth Factor Activity
N0000008469	Decreased Cardiac Muscle Neurotensin Activity
N0000008470	Decreased Cardiac Muscle Nitric Oxide Activity
N0000008471	Decreased Cardiac Muscle Norepinephrine Activity
N0000008472	Decreased Cardiac Muscle Organized Electrical Activity
N0000008473	Decreased Cardiac Muscle Serotonin Activity
N0000008474	Decreased Cardiac Muscle Substance P Activity
N0000008475	Decreased Cardiac Muscle VIP Activity
N0000008449	Decreased CCK Activity
N0000008476	Decreased Cell Membrane Integrity
N0000008477	Decreased Cell Membrane Synthesis & Repair
N0000008478	Decreased Cell Wall Integrity
N0000008479	Decreased Cell Wall Synthesis & Repair
N0000008480	Decreased Cellular Death
N0000008481	Decreased Cellular Locomotion
N0000009928	Decreased Cellular Migration
N0000008482	Decreased Central Nervous System Acetylcholine Activity
N0000008483	Decreased Central Nervous System Aspartate Activity
N0000008484	Decreased Central Nervous System Brain Derived Neurotropic Activity
N0000008485	Decreased Central Nervous System CCK Activity
N0000008486	Decreased Central Nervous System Disorganized Electrical Activity
N0000008487	Decreased Central Nervous System Dopamine Activity
N0000008488	Decreased Central Nervous System Dynorphin Activity
N0000008489	Decreased Central Nervous System Endorphin Activity
N0000008490	Decreased Central Nervous System Enkephalin Activity
N0000008491	Decreased Central Nervous System Epinephrine Activity
N0000008492	Decreased Central Nervous System GABA Activity
N0000008493	Decreased Central Nervous System Gastrin Activity
N0000008494	Decreased Central Nervous System Glutamate Activity
N0000008495	Decreased Central Nervous System Glycine Activity
N0000008496	Decreased Central Nervous System Histamine Activity
N0000008497	Decreased Central Nervous System Nerve Growth Factor Activity
N0000008498	Decreased Central Nervous System Neurotensin Activity
N0000008499	Decreased Central Nervous System Nitric Oxide Activity
N0000008500	Decreased Central Nervous System Norepinephrine Activity
N0000008501	Decreased Central Nervous System Organized Electrical Activity
N0000008502	Decreased Central Nervous System Serotonin Activity
N0000008503	Decreased Central Nervous System Substance P Activity
N0000008504	Decreased Central Nervous System VIP Activity
N0000008505	Decreased Cerebellum Acetylcholine Activity
N0000008506	Decreased Cerebellum Aspartate Activity
N0000008507	Decreased Cerebellum Brain Derived Neurotropic Activity
N0000008508	Decreased Cerebellum CCK Activity
N0000008509	Decreased Cerebellum Disorganized Electrical Activity
N0000008510	Decreased Cerebellum Dopamine Activity
N0000008511	Decreased Cerebellum Dynorphin Activity
N0000008512	Decreased Cerebellum Endorphin Activity
N0000008513	Decreased Cerebellum Enkephalin Activity
N0000008514	Decreased Cerebellum Epinephrine Activity
N0000008515	Decreased Cerebellum GABA Activity
N0000008516	Decreased Cerebellum Gastrin Activity
N0000008517	Decreased Cerebellum Glutamate Activity
N0000008518	Decreased Cerebellum Glycine Activity
N0000008519	Decreased Cerebellum Histamine Activity
N0000008520	Decreased Cerebellum Nerve Growth Factor Activity
N0000008521	Decreased Cerebellum Neurotensin Activity
N0000008522	Decreased Cerebellum Nitric Oxide Activity
N0000008523	Decreased Cerebellum Norepinephrine Activity
N0000008524	Decreased Cerebellum Organized Electrical Activity
N0000008525	Decreased Cerebellum Serotonin Activity
N0000008526	Decreased Cerebellum Substance P Activity
N0000008527	Decreased Cerebellum VIP Activity
N0000008528	Decreased Cerebral Cortex Acetylcholine Activity
N0000008529	Decreased Cerebral Cortex Aspartate Activity
N0000008530	Decreased Cerebral Cortex Brain Derived Neurotropic Activity
N0000008531	Decreased Cerebral Cortex CCK Activity
N0000008532	Decreased Cerebral Cortex Disorganized Electrical Activity
N0000008533	Decreased Cerebral Cortex Dopamine Activity
N0000008534	Decreased Cerebral Cortex Dynorphin Activity
N0000008535	Decreased Cerebral Cortex Endorphin Activity
N0000008536	Decreased Cerebral Cortex Enkephalin Activity
N0000008537	Decreased Cerebral Cortex Epinephrine Activity
N0000008538	Decreased Cerebral Cortex GABA Activity
N0000008539	Decreased Cerebral Cortex Gastrin Activity
N0000008540	Decreased Cerebral Cortex Glutamate Activity
N0000008541	Decreased Cerebral Cortex Glycine Activity
N0000008542	Decreased Cerebral Cortex Histamine Activity
N0000008543	Decreased Cerebral Cortex Nerve Growth Factor Activity
N0000008544	Decreased Cerebral Cortex Neurotensin Activity
N0000008545	Decreased Cerebral Cortex Nitric Oxide Activity
N0000008546	Decreased Cerebral Cortex Norepinephrine Activity
N0000008547	Decreased Cerebral Cortex Organized Electrical Activity
N0000008548	Decreased Cerebral Cortex Serotonin Activity
N0000008549	Decreased Cerebral Cortex Substance P Activity
N0000008550	Decreased Cerebral Cortex VIP Activity
N0000008551	Decreased Cervical Dilation
N0000008552	Decreased Cervical Smooth Muscle Tone
N0000008553	Decreased Cholesterol Absorption
N0000008554	Decreased Cholesterol Elimination
N0000010237	Decreased Cholesterol Secretion
N0000008555	Decreased Cholesterol Synthesis
N0000175978	Decreased Coagulation Activity
N0000008556	Decreased Coagulation Factor Activity
N0000008557	Decreased Coagulation Factor Concentration
N0000008558	Decreased Collecting Duct Ca++ Excretion
N0000008559	Decreased Collecting Duct Cl- Excretion
N0000008560	Decreased Collecting Duct H+ Excretion
N0000008561	Decreased Collecting Duct HCO3- Excretion
N0000008562	Decreased Collecting Duct K+ Excretion
N0000008563	Decreased Collecting Duct Mg++ Excretion
N0000008564	Decreased Collecting Duct Na+ Excretion
N0000008565	Decreased Collecting Duct PO4-- Excretion
N0000008566	Decreased Collecting Duct SO4-- Excretion
N0000008567	Decreased Collecting Duct Water Permeability
N0000008568	Decreased Complement Activity
N0000008569	Decreased Complement Degradation
N0000008570	Decreased Complement Production
N0000175529	Decreased Copper Ion Absorption
N0000008450	Decreased CRH Activity
N0000008451	Decreased CRH Secretion
N0000008571	Decreased Cytokine Activity
N0000008572	Decreased Cytokine Degradation
N0000008573	Decreased Cytokine Production
N0000008574	Decreased Cytoskeleton Integrity
N0000008575	Decreased Cytoskeleton Synthesis & Repair
N0000009936	Decreased Dihydrotestosterone Secretion
N0000008578	Decreased Disorganized Electrical Activity
N0000008579	Decreased Distal Tubule Ca++ Excretion
N0000008580	Decreased Distal Tubule Cl- Excretion
N0000008581	Decreased Distal Tubule H+ Excretion
N0000008582	Decreased Distal Tubule HCO3- Excretion
N0000008583	Decreased Distal Tubule K+ Excretion
N0000008584	Decreased Distal Tubule Mg++ Excretion
N0000008585	Decreased Distal Tubule Na+ Excretion
N0000008586	Decreased Distal Tubule PO4-- Excretion
N0000008587	Decreased Distal Tubule SO4-- Excretion
N0000175360	Decreased Diuresis
N0000175367	Decreased Diuresis at Loop of Henle
N0000008576	Decreased DNA Integrity
N0000008577	Decreased DNA Replication
N0000008588	Decreased Dopamine Activity
N0000008589	Decreased Dynorphin Activity
N0000008590	Decreased Eicosanoid Activity
N0000008591	Decreased Eicosanoid Degradation
N0000008592	Decreased Eicosanoid Production
N0000008593	Decreased Embryonic & Fetal Growth
N0000008594	Decreased Embryonic & Fetal Viability
N0000008595	Decreased Embryonic Implantation
N0000008596	Decreased Endocytosis
N0000008597	Decreased Endorphin Activity
N0000008598	Decreased Endothelial Coagulation Activity
N0000175678	Decreased Endothelial Proliferation
N0000008599	Decreased Enkephalin Activity
N0000008600	Decreased Enteric Nervous System Acetylcholine Activity
N0000008601	Decreased Enteric Nervous System Aspartate Activity
N0000008602	Decreased Enteric Nervous System Brain Derived Neurotropic Activity
N0000008603	Decreased Enteric Nervous System CCK Activity
N0000008604	Decreased Enteric Nervous System Disorganized Electrical Activity
N0000008605	Decreased Enteric Nervous System Dopamine Activity
N0000008606	Decreased Enteric Nervous System Dynorphin Activity
N0000008607	Decreased Enteric Nervous System Endorphin Activity
N0000008608	Decreased Enteric Nervous System Enkephalin Activity
N0000008609	Decreased Enteric Nervous System Epinephrine Activity
N0000008610	Decreased Enteric Nervous System GABA Activity
N0000008611	Decreased Enteric Nervous System Gastrin Activity
N0000008612	Decreased Enteric Nervous System Glutamate Activity
N0000008613	Decreased Enteric Nervous System Glycine Activity
N0000008614	Decreased Enteric Nervous System Histamine Activity
N0000008615	Decreased Enteric Nervous System Nerve Growth Factor Activity
N0000008616	Decreased Enteric Nervous System Neurotensin Activity
N0000008617	Decreased Enteric Nervous System Nitric Oxide Activity
N0000008618	Decreased Enteric Nervous System Norepinephrine Activity
N0000008619	Decreased Enteric Nervous System Organized Electrical Activity
N0000008620	Decreased Enteric Nervous System Serotonin Activity
N0000008621	Decreased Enteric Nervous System Substance P Activity
N0000008622	Decreased Enteric Nervous System VIP Activity
N0000008623	Decreased Epinephrine Activity
N0000175676	Decreased Epithelial Proliferation
N0000008624	Decreased Erythroid Cell Destruction
N0000008625	Decreased Erythroid Cell Production
N0000008626	Decreased Erythropoetin Secretion
N0000008627	Decreased Esophageal Motility
N0000008628	Decreased Esophageal Muscle Tone
N0000008629	Decreased Exocytosis
N0000010228	Decreased Extracellular Communication
N0000175632	Decreased Fibrinolysis
N0000010248	Decreased Fibroblast Migration
N0000009935	Decreased Folic Acid Modification
N0000008630	Decreased Follicle Stimulating Hormone Secretion
N0000008631	Decreased GABA Activity
N0000008639	Decreased Gallbladder Tone
N0000008640	Decreased Gastric Motility
N0000008641	Decreased Gastric Muscle Tone
N0000008642	Decreased Gastrin Activity
N0000008633	Decreased GHRH Activity
N0000008634	Decreased GHRH Secretion
N0000008635	Decreased GI Motility
N0000008636	Decreased GI Smooth Muscle Tone
N0000008643	Decreased Glomerular Filtration Pressure
N0000008644	Decreased Glucagon Secretion
N0000009939	Decreased Glucocorticoid Clearance
N0000008645	Decreased Glucocorticoid Secretion
N0000008646	Decreased Gluconeogenesis
N0000008647	Decreased Glucose Transport into Cells
N0000008648	Decreased Glutamate Activity
N0000008649	Decreased Glycine Activity
N0000008650	Decreased Glycogenesis
N0000008651	Decreased Glycogenolysis
N0000008652	Decreased Glycolysis
N0000008637	Decreased GnRH Activity
N0000008638	Decreased GnRH Secretion
N0000008653	Decreased Granulocytic Cell Destruction
N0000008654	Decreased Granulocytic Cell Production
N0000010232	Decreased Growth Factor Activity
N0000008632	Decreased Growth Hormone Secretion
N0000178322	Decreased Hair Growth
N0000008655	Decreased Hematological Cell Destruction
N0000008656	Decreased Hematopoiesis
N0000178325	Decreased Hematopoietic Stem Cell Mobilization
N0000008657	Decreased Histamine Activity
N0000008658	Decreased Histamine Degradation
N0000008659	Decreased Histamine Production
N0000175628	Decreased Histamine Release
N0000175793	Decreased IgE Activity
N0000175550	Decreased Immunologic Activity
N0000008660	Decreased Immunologically Active Biogenic Amine Activity
N0000008661	Decreased Immunologically Active Biogenic Amine Degradation
N0000008662	Decreased Immunologically Active Biogenic Amine Production
N0000008663	Decreased Immunologically Active Molecule Activity
N0000008664	Decreased Immunologically Active Molecule Degradation
N0000008665	Decreased Immunologically Active Molecule Production
N0000175528	Decreased Inorganic Ion Absorption
N0000008666	Decreased Insulin Secretion
N0000008667	Decreased Intercellular Communication
N0000009944	Decreased Intraocular Aqueous Secretion
N0000009943	Decreased Intraocular Fluid Pressure
N0000008669	Decreased Intravascular Volume
N0000008670	Decreased Iodine Organification
N0000008671	Decreased Iodine Uptake
N0000008672	Decreased Kallidin Activity
N0000008673	Decreased Kallidin Degradation
N0000008674	Decreased Kallidin Production
N0000008675	Decreased Kinin Activity
N0000008676	Decreased Kinin Degradation
N0000008677	Decreased Kinin Production
N0000008679	Decreased Large Intestinal Motility
N0000008680	Decreased Large Intestinal Muscle Tone
N0000008678	Decreased LES Tone
N0000008681	Decreased Leukotriene Activity
N0000008682	Decreased Leukotriene Degradation
N0000008683	Decreased Leukotriene Production
N0000008684	Decreased Lipid Derived Immunologically Active Molecule Activity
N0000008685	Decreased Lipid Derived Immunologically Active Molecule Degradation
N0000008686	Decreased Lipid Derived Immunologically Active Molecule Production
N0000008687	Decreased Lipogenesis
N0000008688	Decreased Lipolysis
N0000008689	Decreased Loop of Henle Ca++ Excretion
N0000008690	Decreased Loop of Henle Cl- Excretion
N0000008691	Decreased Loop of Henle H+ Excretion
N0000008692	Decreased Loop of Henle HCO3- Excretion
N0000008693	Decreased Loop of Henle K+ Excretion
N0000008694	Decreased Loop of Henle Mg++ Excretion
N0000008695	Decreased Loop of Henle Na+ Excretion
N0000008696	Decreased Loop of Henle PO4-- Excretion
N0000008697	Decreased Loop of Henle SO4-- Excretion
N0000009930	Decreased Luteinizing Hormone Secretion
N0000178329	Decreased Lymphocyte Activation
N0000008698	Decreased Lymphocyte Cell Destruction
N0000008699	Decreased Lymphocyte Cell Production
N0000008700	Decreased Lysosomal Function
N0000008701	Decreased Medullary Respiratory Drive
N0000008702	Decreased Megakaryocte Cell Destruction
N0000008703	Decreased Megakaryocte Cell Production
N0000175971	Decreased Megakaryocyte Maturation
N0000008704	Decreased Meiosis
N0000008705	Decreased Melatonin Activity
N0000008706	Decreased Melatonin Secretion
N0000008707	Decreased Metabolic Rate
N0000008708	Decreased Midbrain Acetylcholine Activity
N0000008709	Decreased Midbrain Aspartate Activity
N0000008710	Decreased Midbrain Brain Derived Neurotropic Activity
N0000008711	Decreased Midbrain CCK Activity
N0000008712	Decreased Midbrain Disorganized Electrical Activity
N0000008713	Decreased Midbrain Dopamine Activity
N0000008714	Decreased Midbrain Dynorphin Activity
N0000008715	Decreased Midbrain Endorphin Activity
N0000008716	Decreased Midbrain Enkephalin Activity
N0000008717	Decreased Midbrain Epinephrine Activity
N0000008718	Decreased Midbrain GABA Activity
N0000008719	Decreased Midbrain Gastrin Activity
N0000008720	Decreased Midbrain Glutamate Activity
N0000008721	Decreased Midbrain Glycine Activity
N0000008722	Decreased Midbrain Histamine Activity
N0000008723	Decreased Midbrain Nerve Growth Factor Activity
N0000008724	Decreased Midbrain Neurotensin Activity
N0000008725	Decreased Midbrain Nitric Oxide Activity
N0000008726	Decreased Midbrain Norepinephrine Activity
N0000008727	Decreased Midbrain Organized Electrical Activity
N0000008728	Decreased Midbrain Serotonin Activity
N0000008729	Decreased Midbrain Substance P Activity
N0000008730	Decreased Midbrain VIP Activity
N0000008731	Decreased Mineralocorticoid Secretion
N0000008732	Decreased Mitosis
N0000008733	Decreased Monocytic Cell Destruction
N0000008734	Decreased Monocytic Cell Production
N0000008735	Decreased Muscular System Acetylcholine Activity
N0000008736	Decreased Muscular System Aspartate Activity
N0000008737	Decreased Muscular System Brain Derived Neurotropic Activity
N0000008738	Decreased Muscular System CCK Activity
N0000008739	Decreased Muscular System Disorganized Electrical Activity
N0000008740	Decreased Muscular System Dopamine Activity
N0000008741	Decreased Muscular System Dynorphin Activity
N0000008742	Decreased Muscular System Endorphin Activity
N0000008743	Decreased Muscular System Enkephalin Activity
N0000008744	Decreased Muscular System Epinephrine Activity
N0000008745	Decreased Muscular System GABA Activity
N0000008746	Decreased Muscular System Gastrin Activity
N0000008747	Decreased Muscular System Glutamate Activity
N0000008748	Decreased Muscular System Glycine Activity
N0000008749	Decreased Muscular System Histamine Activity
N0000008750	Decreased Muscular System Nerve Growth Factor Activity
N0000008751	Decreased Muscular System Neurotensin Activity
N0000008752	Decreased Muscular System Nitric Oxide Activity
N0000008753	Decreased Muscular System Norepinephrine Activity
N0000008754	Decreased Muscular System Organized Electrical Activity
N0000008755	Decreased Muscular System Serotonin Activity
N0000008756	Decreased Muscular System Substance P Activity
N0000008757	Decreased Muscular System VIP Activity
N0000008758	Decreased Myeloid Cell Destruction
N0000008759	Decreased Myeloid Cell Production
N0000009972	Decreased Nasal and Sinus Mucosal Edema
N0000008896	Decreased Nasal and Sinus Secretions
N0000008761	Decreased Nerve Growth Factor Activity
N0000008762	Decreased Neurotensin Activity
N0000008763	Decreased Nitric Oxide Activity
N0000008764	Decreased Norepinephrine Activity
N0000008765	Decreased Oncotic Pressure
N0000008766	Decreased Organic Ion Degradation
N0000008767	Decreased Organic Ion Synthesis
N0000008768	Decreased Organized Electrical Activity
N0000008769	Decreased Ovarian Estrogen Secretion
N0000008770	Decreased Ovarian Progesterone Secretion
N0000008771	Decreased Oxygen Carrying Capacity
N0000008772	Decreased Oxytocin Secretion
N0000008778	Decreased Pancreatic Somatostatin Secretion
N0000008779	Decreased Parasympathetic Acetylcholine Activity
N0000175648	Decreased Parasympathetic Activity
N0000008780	Decreased Parasympathetic Aspartate Activity
N0000008781	Decreased Parasympathetic Brain Derived Neurotropic Activity
N0000008782	Decreased Parasympathetic CCK Activity
N0000008783	Decreased Parasympathetic Disorganized Electrical Activity
N0000008784	Decreased Parasympathetic Dopamine Activity
N0000008785	Decreased Parasympathetic Dynorphin Activity
N0000008786	Decreased Parasympathetic Endorphin Activity
N0000008787	Decreased Parasympathetic Enkephalin Activity
N0000008788	Decreased Parasympathetic Epinephrine Activity
N0000008789	Decreased Parasympathetic GABA Activity
N0000008790	Decreased Parasympathetic Gastrin Activity
N0000008791	Decreased Parasympathetic Glutamate Activity
N0000008792	Decreased Parasympathetic Glycine Activity
N0000008793	Decreased Parasympathetic Histamine Activity
N0000008794	Decreased Parasympathetic Nerve Growth Factor Activity
N0000008795	Decreased Parasympathetic Neurotensin Activity
N0000008796	Decreased Parasympathetic Nitric Oxide Activity
N0000008797	Decreased Parasympathetic Norepinephrine Activity
N0000008798	Decreased Parasympathetic Organized Electrical Activity
N0000008799	Decreased Parasympathetic Serotonin Activity
N0000008800	Decreased Parasympathetic Substance P Activity
N0000008801	Decreased Parasympathetic VIP Activity
N0000008802	Decreased Peripheral Nervous System Acetylcholine Activity
N0000008803	Decreased Peripheral Nervous System Aspartate Activity
N0000008804	Decreased Peripheral Nervous System Brain Derived Neurotropic Activity
N0000008805	Decreased Peripheral Nervous System CCK Activity
N0000008806	Decreased Peripheral Nervous System Disorganized Electrical Activity
N0000008807	Decreased Peripheral Nervous System Dopamine Activity
N0000008808	Decreased Peripheral Nervous System Dynorphin Activity
N0000008809	Decreased Peripheral Nervous System Endorphin Activity
N0000008810	Decreased Peripheral Nervous System Enkephalin Activity
N0000008811	Decreased Peripheral Nervous System Epinephrine Activity
N0000008812	Decreased Peripheral Nervous System GABA Activity
N0000008813	Decreased Peripheral Nervous System Gastrin Activity
N0000008814	Decreased Peripheral Nervous System Glutamate Activity
N0000008815	Decreased Peripheral Nervous System Glycine Activity
N0000008816	Decreased Peripheral Nervous System Histamine Activity
N0000008817	Decreased Peripheral Nervous System Nerve Growth Factor Activity
