"","Drug1","Drug2","Source","Object","Precipitant"
"28","DB00710","DB06724","ONC-NonInteruptive","Ibandronate","Calcium carbonate"
"29","DB00279","DB06724","ONC-NonInteruptive","Liothyronine","Calcium carbonate"
"30","DB01009","DB00373","ONC-NonInteruptive","Ketoprofen","Timolol"
"31","DB00999","DB00573","ONC-NonInteruptive","Hydrochlorothiazide","Fenoprofen"
"32","DB00580","DB00598","ONC-NonInteruptive","Valdecoxib","Labetalol"
"33","DB00975","DB06693","ONC-NonInteruptive","Dipyridamole","Mevastatin"
"34","DB00774","DB01399","ONC-NonInteruptive","Hydroflumethiazide","Salsalate"
"35","DB00960","DB01104","ONC-NonInteruptive","Pindolol","Sertraline"
"36","DB01197","DB00966","ONC-NonInteruptive","Captopril","Telmisartan"
"37","DB00861","DB01193","ONC-NonInteruptive","Diflunisal","Acebutolol"
"38","DB00939","DB00612","ONC-NonInteruptive","Meclofenamic acid","Bisoprolol"
"39","DB04861","DB01023","ONC-NonInteruptive","Nebivolol","Felodipine"
"40","DB00338","DB00690","ONC-NonInteruptive","Omeprazole","Flurazepam"
"41","DB00264","DB00451","ONC-NonInteruptive","Metoprolol","Levothyroxine"
"42","DB08808","DB01054","ONC-NonInteruptive","Bupranolol","Nitrendipine"
"43","DB00554","DB01580","ONC-NonInteruptive","Piroxicam","Oxprenolol"
"44","DB00814","DB01136","ONC-NonInteruptive","Meloxicam","Carvedilol"
"45","DB00519","DB00586","ONC-NonInteruptive","Trandolapril","Diclofenac"
"46","DB00814","DB00187","ONC-NonInteruptive","Meloxicam","Esmolol"
"47","DB00573","DB00187","ONC-NonInteruptive","Fenoprofen","Esmolol"
"48","DB00612","DB01023","ONC-NonInteruptive","Bisoprolol","Felodipine"
"49","DB00606","DB00712","ONC-NonInteruptive","Cyclothiazide","Flurbiprofen"
"50","DB00784","DB00571","ONC-NonInteruptive","Mefenamic acid","Propranolol"
"51","DB00187","DB00270","ONC-NonInteruptive","Esmolol","Isradipine"
"52","DB01359","DB01115","ONC-NonInteruptive","Penbutolol","Nifedipine"
"53","DB00571","DB00393","ONC-NonInteruptive","Propranolol","Nimodipine"
"54","DB00571","DB01054","ONC-NonInteruptive","Propranolol","Nitrendipine"
"55","DB00521","DB00715","ONC-NonInteruptive","Carteolol","Paroxetine"
"56","DB01225","DB00175","ONC-NonInteruptive","Enoxaparin","Pravastatin"
"57","DB00451","DB00258","ONC-NonInteruptive","Levothyroxine","Calcium Acetate"
"58","DB01297","DB01175","ONC-NonInteruptive","Practolol","Escitalopram"
"59","DB00881","DB01029","ONC-NonInteruptive","Quinapril","Irbesartan"
"60","DB00945","DB00264","ONC-NonInteruptive","Acetylsalicylic acid","Metoprolol"
"61","DB04743","DB00571","ONC-NonInteruptive","Nimesulide","Propranolol"
"62","DB00881","DB00533","ONC-NonInteruptive","Quinapril","Rofecoxib"
"63","DB00788","DB00866","ONC-NonInteruptive","Naproxen","Alprenolol"
"64","DB00741","DB01122","ONC-NonInteruptive","Hydrocortisone","Ambenonium"
"65","DB00573","DB00335","ONC-NonInteruptive","Fenoprofen","Atenolol"
"66","DB08808","DB00258","ONC-NonInteruptive","Bupranolol","Calcium Acetate"
"67","DB00999","DB00861","ONC-NonInteruptive","Hydrochlorothiazide","Diflunisal"
"68","DB00001","DB01095","ONC-NonInteruptive","Lepirudin","Fluvastatin"
"69","DB00712","DB00489","ONC-NonInteruptive","Flurbiprofen","Sotalol"
"70","DB01197","DB00605","ONC-NonInteruptive","Captopril","Sulindac"
"71","DB00881","DB06725","ONC-NonInteruptive","Quinapril","Lornoxicam"
"72","DB06695","DB06693","ONC-NonInteruptive","Dabigatran etexilate","Mevastatin"
"73","DB00500","DB01203","ONC-NonInteruptive","Tolmetin","Nadolol"
"74","DB00991","DB01359","ONC-NonInteruptive","Oxaprozin","Penbutolol"
"75","DB01009","DB00960","ONC-NonInteruptive","Ketoprofen","Pindolol"
"76","DB00672","DB00881","ONC-NonInteruptive","Chlorpropamide","Quinapril"
"77","DB00001","DB01076","ONC-NonInteruptive","Lepirudin","Atorvastatin"
"78","DB00877","DB00741","ONC-NonInteruptive","Sirolimus","Hydrocortisone"
"79","DB00373","DB00451","ONC-NonInteruptive","Timolol","Levothyroxine"
"80","DB00580","DB01297","ONC-NonInteruptive","Valdecoxib","Practolol"
"81","DB06695","DB01129","ONC-NonInteruptive","Dabigatran etexilate","Rabeprazole"
"82","DB01197","DB00580","ONC-NonInteruptive","Captopril","Valdecoxib"
"83","DB00864","DB00443","ONC-NonInteruptive","Tacrolimus","Betamethasone"
"84","DB00788","DB08808","ONC-NonInteruptive","Naproxen","Bupranolol"
"85","DB00999","DB00749","ONC-NonInteruptive","Hydrochlorothiazide","Etodolac"
"86","DB00682","DB00588","ONC-NonInteruptive","Warfarin","Fluticasone Propionate"
"87","DB00178","DB01050","ONC-NonInteruptive","Ramipril","Ibuprofen"
"88","DB01197","DB01029","ONC-NonInteruptive","Captopril","Irbesartan"
"89","DB00999","DB00788","ONC-NonInteruptive","Hydrochlorothiazide","Naproxen"
"90","DB00881","DB06803","ONC-NonInteruptive","Quinapril","Niclosamide"
"91","DB00880","DB04743","ONC-NonInteruptive","Chlorothiazide","Nimesulide"
"92","DB00774","DB04743","ONC-NonInteruptive","Hydroflumethiazide","Nimesulide"
"93","DB08807","DB00215","ONC-NonInteruptive","Bopindolol","Citalopram"
"94","DB00864","DB00180","ONC-NonInteruptive","Tacrolimus","Flunisolide"
"95","DB00178","DB00712","ONC-NonInteruptive","Ramipril","Flurbiprofen"
"96","DB00999","DB00814","ONC-NonInteruptive","Hydrochlorothiazide","Meloxicam"
"97","DB00864","DB00959","ONC-NonInteruptive","Tacrolimus","Methylprednisolone"
"98","DB04743","DB00373","ONC-NonInteruptive","Nimesulide","Timolol"
"99","DB00682","DB00163","ONC-NonInteruptive","Warfarin","Vitamin E"
"100","DB00489","DB00381","ONC-NonInteruptive","Sotalol","Amlodipine"
"101","DB00304","DB00443","ONC-NonInteruptive","Desogestrel","Betamethasone"
"102","DB01203","DB00176","ONC-NonInteruptive","Nadolol","Fluvoxamine"
"103","DB00335","DB00715","ONC-NonInteruptive","Atenolol","Paroxetine"
"104","DB00861","DB00571","ONC-NonInteruptive","Diflunisal","Propranolol"
"105","DB00814","DB00489","ONC-NonInteruptive","Meloxicam","Sotalol"
"106","DB00178","DB00605","ONC-NonInteruptive","Ramipril","Sulindac"
"107","DB00584","DB00945","ONC-NonInteruptive","Enalapril","Acetylsalicylic acid"
"108","DB00605","DB00187","ONC-NonInteruptive","Sulindac","Esmolol"
"109","DB04861","DB00176","ONC-NonInteruptive","Nebivolol","Fluvoxamine"
"110","DB00866","DB01054","ONC-NonInteruptive","Alprenolol","Nitrendipine"
"111","DB00482","DB01359","ONC-NonInteruptive","Celecoxib","Penbutolol"
"112","DB01251","DB00790","ONC-NonInteruptive","Gliquidone","Perindopril"
"113","DB01225","DB00860","ONC-NonInteruptive","Enoxaparin","Prednisolone"
"114","DB06228","DB00163","ONC-NonInteruptive","Rivaroxaban","Vitamin E"
"115","DB00866","DB01023","ONC-NonInteruptive","Alprenolol","Felodipine"
"116","DB00278","DB01095","ONC-NonInteruptive","Argatroban","Fluvastatin"
"117","DB00960","DB00451","ONC-NonInteruptive","Pindolol","Levothyroxine"
"118","DB00606","DB04743","ONC-NonInteruptive","Cyclothiazide","Nimesulide"
"119","DB01359","DB00393","ONC-NonInteruptive","Penbutolol","Nimodipine"
"120","DB00999","DB00519","ONC-NonInteruptive","Hydrochlorothiazide","Trandolapril"
"121","DB00881","DB08822","ONC-NonInteruptive","Quinapril","Azilsartan medoxomil"
"122","DB01377","DB00741","ONC-NonInteruptive","Magnesium oxide","Hydrocortisone"
"123","DB00436","DB00939","ONC-NonInteruptive","Bendroflumethiazide","Meclofenamic acid"
"124","DB01197","DB00461","ONC-NonInteruptive","Captopril","Nabumetone"
"125","DB00866","DB00393","ONC-NonInteruptive","Alprenolol","Nimodipine"
"126","DB00586","DB00960","ONC-NonInteruptive","Diclofenac","Pindolol"
"127","DB00814","DB00571","ONC-NonInteruptive","Meloxicam","Propranolol"
"128","DB06779","DB01076","ONC-NonInteruptive","Dalteparin","Atorvastatin"
"129","DB00554","DB01136","ONC-NonInteruptive","Piroxicam","Carvedilol"
"130","DB00338","DB01068","ONC-NonInteruptive","Omeprazole","Clonazepam"
"131","DB00722","DB04743","ONC-NonInteruptive","Lisinopril","Nimesulide"
"132","DB01120","DB00790","ONC-NonInteruptive","Gliclazide","Perindopril"
"133","DB00788","DB00335","ONC-NonInteruptive","Naproxen","Atenolol"
"134","DB00823","DB00180","ONC-NonInteruptive","Ethynodiol","Flunisolide"
"135","DB06725","DB01203","ONC-NonInteruptive","Lornoxicam","Nadolol"
"136","DB00521","DB01054","ONC-NonInteruptive","Carteolol","Nitrendipine"
"137","DB01197","DB08822","ONC-NonInteruptive","Captopril","Azilsartan medoxomil"
"138","DB00006","DB00443","ONC-NonInteruptive","Bivalirudin","Betamethasone"
"139","DB00866","DB00215","ONC-NonInteruptive","Alprenolol","Citalopram"
"140","DB01251","DB00492","ONC-NonInteruptive","Gliquidone","Fosinopril"
"141","DB00861","DB00264","ONC-NonInteruptive","Diflunisal","Metoprolol"
"142","DB00279","DB06693","ONC-NonInteruptive","Liothyronine","Mevastatin"
"143","DB00178","DB00788","ONC-NonInteruptive","Ramipril","Naproxen"
"144","DB00939","DB04861","ONC-NonInteruptive","Meclofenamic acid","Nebivolol"
"145","DB00790","DB04743","ONC-NonInteruptive","Perindopril","Nimesulide"
"146","DB00866","DB01104","ONC-NonInteruptive","Alprenolol","Sertraline"
"147","DB00580","DB00373","ONC-NonInteruptive","Valdecoxib","Timolol"
"148","DB00465","DB00612","ONC-NonInteruptive","Ketorolac","Bisoprolol"
"149","DB00573","DB00521","ONC-NonInteruptive","Fenoprofen","Carteolol"
"150","DB00606","DB00749","ONC-NonInteruptive","Cyclothiazide","Etodolac"
"151","DB00606","DB00722","ONC-NonInteruptive","Cyclothiazide","Lisinopril"
"152","DB00158","DB00563","ONC-NonInteruptive","Folic Acid","Methotrexate"
"153","DB00861","DB00960","ONC-NonInteruptive","Diflunisal","Pindolol"
"154","DB06695","DB00860","ONC-NonInteruptive","Dabigatran etexilate","Prednisolone"
"155","DB00482","DB00571","ONC-NonInteruptive","Celecoxib","Propranolol"
"156","DB00461","DB00571","ONC-NonInteruptive","Nabumetone","Propranolol"
"157","DB00880","DB00533","ONC-NonInteruptive","Chlorothiazide","Rofecoxib"
"158","DB01016","DB00519","ONC-NonInteruptive","Glyburide","Trandolapril"
"159","DB00999","DB00482","ONC-NonInteruptive","Hydrochlorothiazide","Celecoxib"
"160","DB00598","DB00472","ONC-NonInteruptive","Labetalol","Fluoxetine"
"161","DB00492","DB06709","ONC-NonInteruptive","Fosinopril","Methacholine"
"162","DB01359","DB00622","ONC-NonInteruptive","Penbutolol","Nicardipine"
"163","DB06725","DB01297","ONC-NonInteruptive","Lornoxicam","Practolol"
"164","DB04861","DB01104","ONC-NonInteruptive","Nebivolol","Sertraline"
"165","DB01050","DB01193","ONC-NonInteruptive","Ibuprofen","Acebutolol"
"166","DB04861","DB01175","ONC-NonInteruptive","Nebivolol","Escitalopram"
"167","DB01136","DB01023","ONC-NonInteruptive","Carvedilol","Felodipine"
"168","DB00866","DB00176","ONC-NonInteruptive","Alprenolol","Fluvoxamine"
"169","DB00999","DB00465","ONC-NonInteruptive","Hydrochlorothiazide","Ketorolac"
"170","DB00586","DB00264","ONC-NonInteruptive","Diclofenac","Metoprolol"
"171","DB00492","DB00461","ONC-NonInteruptive","Fosinopril","Nabumetone"
"172","DB00571","DB01115","ONC-NonInteruptive","Propranolol","Nifedipine"
"173","DB00774","DB00605","ONC-NonInteruptive","Hydroflumethiazide","Sulindac"
"174","DB01109","DB00163","ONC-NonInteruptive","Heparin","Vitamin E"
"175","DB01399","DB00612","ONC-NonInteruptive","Salsalate","Bisoprolol"
"176","DB00222","DB00584","ONC-NonInteruptive","Glimepiride","Enalapril"
"177","DB00991","DB00264","ONC-NonInteruptive","Oxaprozin","Metoprolol"
"178","DB00519","DB00788","ONC-NonInteruptive","Trandolapril","Naproxen"
"179","DB00335","DB01115","ONC-NonInteruptive","Atenolol","Nifedipine"
"180","DB01324","DB00991","ONC-NonInteruptive","Polythiazide","Oxaprozin"
"181","DB00784","DB01580","ONC-NonInteruptive","Mefenamic acid","Oxprenolol"
"182","DB00533","DB01359","ONC-NonInteruptive","Rofecoxib","Penbutolol"
"183","DB00784","DB01297","ONC-NonInteruptive","Mefenamic acid","Practolol"
"184","DB00232","DB00605","ONC-NonInteruptive","Methyclothiazide","Sulindac"
"185","DB00881","DB00580","ONC-NonInteruptive","Quinapril","Valdecoxib"
"186","DB01289","DB01197","ONC-NonInteruptive","Glisoxepide","Captopril"
"187","DB00823","DB01234","ONC-NonInteruptive","Ethynodiol","Dexamethasone"
"188","DB00436","DB00586","ONC-NonInteruptive","Bendroflumethiazide","Diclofenac"
"189","DB00790","DB00275","ONC-NonInteruptive","Perindopril","Olmesartan"
"190","DB01583","DB01098","ONC-NonInteruptive","Liotrix","Rosuvastatin"
"191","DB00790","DB00796","ONC-NonInteruptive","Perindopril","Candesartan"
"192","DB00606","DB00586","ONC-NonInteruptive","Cyclothiazide","Diclofenac"
"193","DB00521","DB00451","ONC-NonInteruptive","Carteolol","Levothyroxine"
"194","DB00627","DB06693","ONC-NonInteruptive","Niacin","Mevastatin"
"195","DB08808","DB00622","ONC-NonInteruptive","Bupranolol","Nicardipine"
"196","DB01203","DB01054","ONC-NonInteruptive","Nadolol","Nitrendipine"
"197","DB00627","DB00175","ONC-NonInteruptive","Niacin","Pravastatin"
"198","DB00492","DB00580","ONC-NonInteruptive","Fosinopril","Valdecoxib"
"199","DB00482","DB00612","ONC-NonInteruptive","Celecoxib","Bisoprolol"
"200","DB00436","DB01197","ONC-NonInteruptive","Bendroflumethiazide","Captopril"
"201","DB01197","DB00482","ONC-NonInteruptive","Captopril","Celecoxib"
"202","DB00542","DB00573","ONC-NonInteruptive","Benazepril","Fenoprofen"
"203","DB00860","DB01400","ONC-NonInteruptive","Prednisolone","Neostigmine"
"204","DB00519","DB00554","ONC-NonInteruptive","Trandolapril","Piroxicam"
"205","DB00975","DB00175","ONC-NonInteruptive","Dipyridamole","Pravastatin"
"206","DB00367","DB00860","ONC-NonInteruptive","Levonorgestrel","Prednisolone"
"207","DB04743","DB00335","ONC-NonInteruptive","Nimesulide","Atenolol"
"208","DB00492","DB08822","ONC-NonInteruptive","Fosinopril","Azilsartan medoxomil"
"209","DB00606","DB00542","ONC-NonInteruptive","Cyclothiazide","Benazepril"
"210","DB00823","DB00443","ONC-NonInteruptive","Ethynodiol","Betamethasone"
"211","DB06725","DB00612","ONC-NonInteruptive","Lornoxicam","Bisoprolol"
"212","DB00338","DB00639","ONC-NonInteruptive","Omeprazole","Butoconazole"
"213","DB00489","DB01104","ONC-NonInteruptive","Sotalol","Sertraline"
"214","DB01399","DB00489","ONC-NonInteruptive","Salsalate","Sotalol"
"215","DB00945","DB00489","ONC-NonInteruptive","Acetylsalicylic acid","Sotalol"
"216","DB01580","DB00270","ONC-NonInteruptive","Oxprenolol","Isradipine"
"217","DB00278","DB00448","ONC-NonInteruptive","Argatroban","Lansoprazole"
"218","DB00187","DB00451","ONC-NonInteruptive","Esmolol","Levothyroxine"
"219","DB00187","DB01583","ONC-NonInteruptive","Esmolol","Liotrix"
"220","DB00213","DB08933","ONC-NonInteruptive","Pantoprazole","LULICONAZOLE"
"221","DB00790","DB00784","ONC-NonInteruptive","Perindopril","Mefenamic acid"
"222","DB00264","DB00258","ONC-NonInteruptive","Metoprolol","Calcium Acetate"
"223","DB00960","DB06724","ONC-NonInteruptive","Pindolol","Calcium carbonate"
"224","DB00448","DB00257","ONC-NonInteruptive","Lansoprazole","Clotrimazole"
"225","DB00187","DB00472","ONC-NonInteruptive","Esmolol","Fluoxetine"
"226","DB01193","DB00472","ONC-NonInteruptive","Acebutolol","Fluoxetine"
"227","DB01050","DB00598","ONC-NonInteruptive","Ibuprofen","Labetalol"
"228","DB01129","DB00239","ONC-NonInteruptive","Rabeprazole","Oxiconazole"
"229","DB00788","DB00571","ONC-NonInteruptive","Naproxen","Propranolol"
"230","DB00606","DB00178","ONC-NonInteruptive","Cyclothiazide","Ramipril"
"231","DB00814","DB08808","ONC-NonInteruptive","Meloxicam","Bupranolol"
"232","DB01580","DB06724","ONC-NonInteruptive","Oxprenolol","Calcium carbonate"
"233","DB00861","DB01136","ONC-NonInteruptive","Diflunisal","Carvedilol"
"234","DB06779","DB01095","ONC-NonInteruptive","Dalteparin","Fluvastatin"
"235","DB00880","DB01050","ONC-NonInteruptive","Chlorothiazide","Ibuprofen"
"236","DB01120","DB00722","ONC-NonInteruptive","Gliclazide","Lisinopril"
"237","DB00612","DB00622","ONC-NonInteruptive","Bisoprolol","Nicardipine"
"238","DB01124","DB00542","ONC-NonInteruptive","Tolbutamide","Benazepril"
"239","DB00195","DB00472","ONC-NonInteruptive","Betaxolol","Fluoxetine"
"240","DB01021","DB06725","ONC-NonInteruptive","Trichlormethiazide","Lornoxicam"
"241","DB00338","DB00842","ONC-NonInteruptive","Omeprazole","Oxazepam"
"242","DB00722","DB00554","ONC-NonInteruptive","Lisinopril","Piroxicam"
"243","DB00749","DB01297","ONC-NonInteruptive","Etodolac","Practolol"
"244","DB01050","DB00571","ONC-NonInteruptive","Ibuprofen","Propranolol"
"245","DB00860","DB00545","ONC-NonInteruptive","Prednisolone","Pyridostigmine"
"246","DB00448","DB01153","ONC-NonInteruptive","Lansoprazole","Sertaconazole"
"247","DB00880","DB00580","ONC-NonInteruptive","Chlorothiazide","Valdecoxib"
"248","DB00492","DB00177","ONC-NonInteruptive","Fosinopril","Valsartan"
"249","DB00774","DB00542","ONC-NonInteruptive","Hydroflumethiazide","Benazepril"
"250","DB00187","DB06724","ONC-NonInteruptive","Esmolol","Calcium carbonate"
"251","DB00195","DB00215","ONC-NonInteruptive","Betaxolol","Citalopram"
"252","DB00335","DB00270","ONC-NonInteruptive","Atenolol","Isradipine"
"253","DB01583","DB06693","ONC-NonInteruptive","Liotrix","Mevastatin"
"254","DB00521","DB01115","ONC-NonInteruptive","Carteolol","Nifedipine"
"255","DB00373","DB01054","ONC-NonInteruptive","Timolol","Nitrendipine"
"256","DB00605","DB01359","ONC-NonInteruptive","Sulindac","Penbutolol"
"257","DB06779","DB01129","ONC-NonInteruptive","Dalteparin","Rabeprazole"
"258","DB00939","DB01193","ONC-NonInteruptive","Meclofenamic acid","Acebutolol"
"259","DB00682","DB00316","ONC-NonInteruptive","Warfarin","Acetaminophen"
"260","DB00722","DB08822","ONC-NonInteruptive","Lisinopril","Azilsartan medoxomil"
"261","DB01399","DB00264","ONC-NonInteruptive","Salsalate","Metoprolol"
"262","DB00554","DB04861","ONC-NonInteruptive","Piroxicam","Nebivolol"
"263","DB01050","DB01580","ONC-NonInteruptive","Ibuprofen","Oxprenolol"
"264","DB00712","DB00960","ONC-NonInteruptive","Flurbiprofen","Pindolol"
"265","DB01324","DB00580","ONC-NonInteruptive","Polythiazide","Valdecoxib"
"266","DB00598","DB00215","ONC-NonInteruptive","Labetalol","Citalopram"
"267","DB00672","DB00492","ONC-NonInteruptive","Chlorpropamide","Fosinopril"
"268","DB00606","DB01050","ONC-NonInteruptive","Cyclothiazide","Ibuprofen"
"269","DB01359","DB00279","ONC-NonInteruptive","Penbutolol","Liothyronine"
"270","DB00999","DB00722","ONC-NonInteruptive","Hydrochlorothiazide","Lisinopril"
"271","DB01297","DB00622","ONC-NonInteruptive","Practolol","Nicardipine"
"272","DB00960","DB01115","ONC-NonInteruptive","Pindolol","Nifedipine"
"273","DB01203","DB00393","ONC-NonInteruptive","Nadolol","Nimodipine"
"274","DB06605","DB01129","ONC-NonInteruptive","Apixaban","Rabeprazole"
"275","DB00627","DB01098","ONC-NonInteruptive","Niacin","Rosuvastatin"
"276","DB00584","DB00605","ONC-NonInteruptive","Enalapril","Sulindac"
"277","DB00461","DB08807","ONC-NonInteruptive","Nabumetone","Bopindolol"
"278","DB00533","DB00521","ONC-NonInteruptive","Rofecoxib","Carteolol"
"279","DB06228","DB01095","ONC-NonInteruptive","Rivaroxaban","Fluvastatin"
"280","DB01225","DB01095","ONC-NonInteruptive","Enoxaparin","Fluvastatin"
"281","DB01324","DB06725","ONC-NonInteruptive","Polythiazide","Lornoxicam"
"282","DB00722","DB00784","ONC-NonInteruptive","Lisinopril","Mefenamic acid"
"283","DB00584","DB06709","ONC-NonInteruptive","Enalapril","Methacholine"
"284","DB00451","DB00175","ONC-NonInteruptive","Levothyroxine","Pravastatin"
"285","DB00482","DB00866","ONC-NonInteruptive","Celecoxib","Alprenolol"
"286","DB04861","DB00258","ONC-NonInteruptive","Nebivolol","Calcium Acetate"
"287","DB00338","DB00257","ONC-NonInteruptive","Omeprazole","Clotrimazole"
"288","DB00261","DB01095","ONC-NonInteruptive","Anagrelide","Fluvastatin"
"289","DB00542","DB01029","ONC-NonInteruptive","Benazepril","Irbesartan"
"290","DB00006","DB00448","ONC-NonInteruptive","Bivalirudin","Lansoprazole"
"291","DB00605","DB00264","ONC-NonInteruptive","Sulindac","Metoprolol"
"292","DB00584","DB00461","ONC-NonInteruptive","Enalapril","Nabumetone"
"293","DB01067","DB00881","ONC-NonInteruptive","Glipizide","Quinapril"
"294","DB00187","DB01104","ONC-NonInteruptive","Esmolol","Sertraline"
"295","DB00554","DB00612","ONC-NonInteruptive","Piroxicam","Bisoprolol"
"296","DB01324","DB00482","ONC-NonInteruptive","Polythiazide","Celecoxib"
"297","DB00264","DB01023","ONC-NonInteruptive","Metoprolol","Felodipine"
"298","DB00335","DB00472","ONC-NonInteruptive","Atenolol","Fluoxetine"
"299","DB00722","DB00712","ONC-NonInteruptive","Lisinopril","Flurbiprofen"
"300","DB00881","DB00784","ONC-NonInteruptive","Quinapril","Mefenamic acid"
"301","DB00213","DB01110","ONC-NonInteruptive","Pantoprazole","Miconazole"
"302","DB01193","DB01054","ONC-NonInteruptive","Acebutolol","Nitrendipine"
"303","DB00500","DB01580","ONC-NonInteruptive","Tolmetin","Oxprenolol"
"304","DB00294","DB00635","ONC-NonInteruptive","Etonogestrel","Prednisone"
"305","DB00451","DB00641","ONC-NonInteruptive","Levothyroxine","Simvastatin"
"306","DB00672","DB00542","ONC-NonInteruptive","Chlorpropamide","Benazepril"
"307","DB01399","DB01136","ONC-NonInteruptive","Salsalate","Carvedilol"
"308","DB00542","DB00749","ONC-NonInteruptive","Benazepril","Etodolac"
"309","DB08808","DB01023","ONC-NonInteruptive","Bupranolol","Felodipine"
"310","DB00975","DB00180","ONC-NonInteruptive","Dipyridamole","Flunisolide"
"311","DB08807","DB00176","ONC-NonInteruptive","Bopindolol","Fluvoxamine"
"312","DB00436","DB00788","ONC-NonInteruptive","Bendroflumethiazide","Naproxen"
"313","DB00999","DB04743","ONC-NonInteruptive","Hydrochlorothiazide","Nimesulide"
"314","DB00612","DB00393","ONC-NonInteruptive","Bisoprolol","Nimodipine"
"315","DB00975","DB00620","ONC-NonInteruptive","Dipyridamole","Triamcinolone"
"316","DB00712","DB00187","ONC-NonInteruptive","Flurbiprofen","Esmolol"
"317","DB06605","DB00180","ONC-NonInteruptive","Apixaban","Flunisolide"
"318","DB06779","DB00588","ONC-NonInteruptive","Dalteparin","Fluticasone Propionate"
"319","DB00519","DB00678","ONC-NonInteruptive","Trandolapril","Losartan"
"320","DB06605","DB00959","ONC-NonInteruptive","Apixaban","Methylprednisolone"
"321","DB01136","DB01054","ONC-NonInteruptive","Carvedilol","Nitrendipine"
"322","DB00492","DB00275","ONC-NonInteruptive","Fosinopril","Olmesartan"
"323","DB08807","DB01104","ONC-NonInteruptive","Bopindolol","Sertraline"
"324","DB00580","DB00489","ONC-NonInteruptive","Valdecoxib","Sotalol"
"325","DB00877","DB00180","ONC-NonInteruptive","Sirolimus","Flunisolide"
"326","DB06695","DB00180","ONC-NonInteruptive","Dabigatran etexilate","Flunisolide"
"327","DB00492","DB00465","ONC-NonInteruptive","Fosinopril","Ketorolac"
"328","DB00571","DB00401","ONC-NonInteruptive","Propranolol","Nisoldipine"
"329","DB00519","DB00275","ONC-NonInteruptive","Trandolapril","Olmesartan"
"330","DB00542","DB00500","ONC-NonInteruptive","Benazepril","Tolmetin"
"331","DB00461","DB01193","ONC-NonInteruptive","Nabumetone","Acebutolol"
"332","DB00180","DB01122","ONC-NonInteruptive","Flunisolide","Ambenonium"
"333","DB00999","DB00584","ONC-NonInteruptive","Hydrochlorothiazide","Enalapril"
"334","DB00612","DB00472","ONC-NonInteruptive","Bisoprolol","Fluoxetine"
"335","DB01021","DB00328","ONC-NonInteruptive","Trichlormethiazide","Indomethacin"
"336","DB00790","DB06725","ONC-NonInteruptive","Perindopril","Lornoxicam"
"337","DB00881","DB00814","ONC-NonInteruptive","Quinapril","Meloxicam"
"338","DB00959","DB00981","ONC-NonInteruptive","Methylprednisolone","Physostigmine"
"339","DB00682","DB00175","ONC-NonInteruptive","Warfarin","Pravastatin"
"340","DB00881","DB00966","ONC-NonInteruptive","Quinapril","Telmisartan"
"341","DB00213","DB01007","ONC-NonInteruptive","Pantoprazole","Tioconazole"
"342","DB00960","DB00381","ONC-NonInteruptive","Pindolol","Amlodipine"
"343","DB04861","DB06724","ONC-NonInteruptive","Nebivolol","Calcium carbonate"
