ATC_CODE,Dataset_source,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A01AB17,Corpus_2013,A,A01,A01A,A01AB,A01AB17
A01AB17,CredibleMeds,A,A01,A01A,A01AB,A01AB17
A01AB17,Drugbank,A,A01,A01A,A01AB,A01AB17
A01AB17,HEP,A,A01,A01A,A01AB,A01AB17
A01AB17,HIV,A,A01,A01A,A01AB,A01AB17
A01AB17,KEGG,A,A01,A01A,A01AB,A01AB17
A01AB17,NDFRT,A,A01,A01A,A01AB,A01AB17
A01AB17,Twosides,A,A01,A01A,A01AB,A01AB17
A01AB22,CANCER,A,A01,A01A,A01AB,A01AB22
A01AB22,Corpus_2011,A,A01,A01A,A01AB,A01AB22
A01AB22,Corpus_2013,A,A01,A01A,A01AB,A01AB22
A01AB22,Drugbank,A,A01,A01A,A01AB,A01AB22
A01AB22,HEP,A,A01,A01A,A01AB,A01AB22
A01AB22,HIV,A,A01,A01A,A01AB,A01AB22
A01AB22,KEGG,A,A01,A01A,A01AB,A01AB22
A01AB22,NDFRT,A,A01,A01A,A01AB,A01AB22
A01AB22,Twosides,A,A01,A01A,A01AB,A01AB22
A01AC01,CANCER,A,A01,A01A,A01AC,A01AC01
A01AC01,Drugbank,A,A01,A01A,A01AC,A01AC01
A01AC01,HEP,A,A01,A01A,A01AC,A01AC01
A01AC01,HIV,A,A01,A01A,A01AC,A01AC01
A01AC01,KEGG,A,A01,A01A,A01AC,A01AC01
A01AC01,NDFRT,A,A01,A01A,A01AC,A01AC01
A01AC01,ONC_NI,A,A01,A01A,A01AC,A01AC01
A01AC01,Twosides,A,A01,A01A,A01AC,A01AC01
A01AC02,CANCER,A,A01,A01A,A01AC,A01AC02
A01AC02,Corpus_2011,A,A01,A01A,A01AC,A01AC02
A01AC02,Corpus_2013,A,A01,A01A,A01AC,A01AC02
A01AC02,Drugbank,A,A01,A01A,A01AC,A01AC02
A01AC02,HEP,A,A01,A01A,A01AC,A01AC02
A01AC02,HIV,A,A01,A01A,A01AC,A01AC02
A01AC02,KEGG,A,A01,A01A,A01AC,A01AC02
A01AC02,NDFRT,A,A01,A01A,A01AC,A01AC02
A01AC02,ONC_NI,A,A01,A01A,A01AC,A01AC02
A01AC02,Twosides,A,A01,A01A,A01AC,A01AC02
A01AC54,CANCER,A,A01,A01A,A01AC,A01AC54
A01AC54,Corpus_2011,A,A01,A01A,A01AC,A01AC54
A01AC54,Corpus_2013,A,A01,A01A,A01AC,A01AC54
A01AC54,Drugbank,A,A01,A01A,A01AC,A01AC54
A01AC54,HIV,A,A01,A01A,A01AC,A01AC54
A01AC54,ONC_NI,A,A01,A01A,A01AC,A01AC54
A02A,CANCER,A,A02,A02A,A02A,A02A
A02A,HEP,A,A02,A02A,A02A,A02A
A02A,HIV,A,A02,A02A,A02A,A02A
A02AB01,CANCER,A,A02,A02A,A02AB,A02AB01
A02AB01,Corpus_2011,A,A02,A02A,A02AB,A02AB01
A02AB01,Corpus_2013,A,A02,A02A,A02AB,A02AB01
A02AB01,Drugbank,A,A02,A02A,A02AB,A02AB01
A02AB01,HEP,A,A02,A02A,A02AB,A02AB01
A02AB01,KEGG,A,A02,A02A,A02AB,A02AB01
A02AB01,NDFRT,A,A02,A02A,A02AB,A02AB01
A02AB01,NLM_corpus,A,A02,A02A,A02AB,A02AB01
A02AB01,ONC_NI,A,A02,A02A,A02AB,A02AB01
A02AB01,PK_corpus,A,A02,A02A,A02AB,A02AB01
A02AB01,Twosides,A,A02,A02A,A02AB,A02AB01
A02BA01,CANCER,A,A02,A02B,A02BA,A02BA01
A02BA01,Corpus_2011,A,A02,A02B,A02BA,A02BA01
A02BA01,Corpus_2013,A,A02,A02B,A02BA,A02BA01
A02BA01,Drugbank,A,A02,A02B,A02BA,A02BA01
A02BA01,HEP,A,A02,A02B,A02BA,A02BA01
A02BA01,HIV,A,A02,A02B,A02BA,A02BA01
A02BA01,KEGG,A,A02,A02B,A02BA,A02BA01
A02BA01,NDFRT,A,A02,A02B,A02BA,A02BA01
A02BA01,NLM_corpus,A,A02,A02B,A02BA,A02BA01
A02BA01,ONC_HIGH,A,A02,A02B,A02BA,A02BA01
A02BA01,PK_corpus,A,A02,A02B,A02BA,A02BA01
A02BA01,Twosides,A,A02,A02B,A02BA,A02BA01
A02BA02,CANCER,A,A02,A02B,A02BA,A02BA02
A02BA02,Corpus_2011,A,A02,A02B,A02BA,A02BA02
A02BA02,Corpus_2013,A,A02,A02B,A02BA,A02BA02
A02BA02,DanishDB,A,A02,A02B,A02BA,A02BA02
A02BA02,Drugbank,A,A02,A02B,A02BA,A02BA02
A02BA02,HEP,A,A02,A02B,A02BA,A02BA02
A02BA02,HIV,A,A02,A02B,A02BA,A02BA02
A02BA02,KEGG,A,A02,A02B,A02BA,A02BA02
A02BA02,NDFRT,A,A02,A02B,A02BA,A02BA02
A02BA02,PK_corpus,A,A02,A02B,A02BA,A02BA02
A02BA02,Twosides,A,A02,A02B,A02BA,A02BA02
A02BA03,CANCER,A,A02,A02B,A02BA,A02BA03
A02BA03,Corpus_2011,A,A02,A02B,A02BA,A02BA03
A02BA03,Corpus_2013,A,A02,A02B,A02BA,A02BA03
A02BA03,Drugbank,A,A02,A02B,A02BA,A02BA03
A02BA03,HEP,A,A02,A02B,A02BA,A02BA03
A02BA03,HIV,A,A02,A02B,A02BA,A02BA03
A02BA03,KEGG,A,A02,A02B,A02BA,A02BA03
A02BA03,NDFRT,A,A02,A02B,A02BA,A02BA03
A02BA03,Twosides,A,A02,A02B,A02BA,A02BA03
A02BA07,CANCER,A,A02,A02B,A02BA,A02BA07
A02BA07,Corpus_2011,A,A02,A02B,A02BA,A02BA07
A02BA07,Corpus_2013,A,A02,A02B,A02BA,A02BA07
A02BA07,Drugbank,A,A02,A02B,A02BA,A02BA07
A02BA07,HEP,A,A02,A02B,A02BA,A02BA07
A02BA07,HIV,A,A02,A02B,A02BA,A02BA07
A02BA07,KEGG,A,A02,A02B,A02BA,A02BA07
A02BA07,PK_corpus,A,A02,A02B,A02BA,A02BA07
A02BA51,CANCER,A,A02,A02B,A02BA,A02BA51
A02BA51,Corpus_2011,A,A02,A02B,A02BA,A02BA51
A02BA51,Corpus_2013,A,A02,A02B,A02BA,A02BA51
A02BA51,Drugbank,A,A02,A02B,A02BA,A02BA51
A02BA51,HEP,A,A02,A02B,A02BA,A02BA51
A02BA51,HIV,A,A02,A02B,A02BA,A02BA51
A02BA51,NLM_corpus,A,A02,A02B,A02BA,A02BA51
A02BA51,ONC_HIGH,A,A02,A02B,A02BA,A02BA51
A02BA51,PK_corpus,A,A02,A02B,A02BA,A02BA51
A02BA53,CANCER,A,A02,A02B,A02BA,A02BA53
A02BA53,Corpus_2011,A,A02,A02B,A02BA,A02BA53
A02BA53,Corpus_2013,A,A02,A02B,A02BA,A02BA53
A02BA53,Drugbank,A,A02,A02B,A02BA,A02BA53
A02BA53,HEP,A,A02,A02B,A02BA,A02BA53
A02BA53,HIV,A,A02,A02B,A02BA,A02BA53
A02BC01,CANCER,A,A02,A02B,A02BC,A02BC01
A02BC01,Corpus_2011,A,A02,A02B,A02BC,A02BC01
A02BC01,Corpus_2013,A,A02,A02B,A02BC,A02BC01
A02BC01,CredibleMeds,A,A02,A02B,A02BC,A02BC01
A02BC01,DanishDB,A,A02,A02B,A02BC,A02BC01
A02BC01,Drugbank,A,A02,A02B,A02BC,A02BC01
A02BC01,HEP,A,A02,A02B,A02BC,A02BC01
A02BC01,HIV,A,A02,A02B,A02BC,A02BC01
A02BC01,KEGG,A,A02,A02B,A02BC,A02BC01
A02BC01,NDFRT,A,A02,A02B,A02BC,A02BC01
A02BC01,NLM_corpus,A,A02,A02B,A02BC,A02BC01
A02BC01,ONC_HIGH,A,A02,A02B,A02BC,A02BC01
A02BC01,ONC_NI,A,A02,A02B,A02BC,A02BC01
A02BC01,PK_corpus,A,A02,A02B,A02BC,A02BC01
A02BC01,Twosides,A,A02,A02B,A02BC,A02BC01
A02BC02,CANCER,A,A02,A02B,A02BC,A02BC02
A02BC02,Corpus_2013,A,A02,A02B,A02BC,A02BC02
A02BC02,DanishDB,A,A02,A02B,A02BC,A02BC02
A02BC02,Drugbank,A,A02,A02B,A02BC,A02BC02
A02BC02,HEP,A,A02,A02B,A02BC,A02BC02
A02BC02,HIV,A,A02,A02B,A02BC,A02BC02
A02BC02,KEGG,A,A02,A02B,A02BC,A02BC02
A02BC02,NDFRT,A,A02,A02B,A02BC,A02BC02
A02BC02,NLM_corpus,A,A02,A02B,A02BC,A02BC02
A02BC02,ONC_HIGH,A,A02,A02B,A02BC,A02BC02
A02BC02,ONC_NI,A,A02,A02B,A02BC,A02BC02
A02BC02,Twosides,A,A02,A02B,A02BC,A02BC02
A02BC03,CANCER,A,A02,A02B,A02BC,A02BC03
A02BC03,Corpus_2011,A,A02,A02B,A02BC,A02BC03
A02BC03,Corpus_2013,A,A02,A02B,A02BC,A02BC03
A02BC03,DanishDB,A,A02,A02B,A02BC,A02BC03
A02BC03,Drugbank,A,A02,A02B,A02BC,A02BC03
A02BC03,HEP,A,A02,A02B,A02BC,A02BC03
A02BC03,HIV,A,A02,A02B,A02BC,A02BC03
A02BC03,KEGG,A,A02,A02B,A02BC,A02BC03
A02BC03,NDFRT,A,A02,A02B,A02BC,A02BC03
A02BC03,NLM_corpus,A,A02,A02B,A02BC,A02BC03
A02BC03,ONC_HIGH,A,A02,A02B,A02BC,A02BC03
A02BC03,ONC_NI,A,A02,A02B,A02BC,A02BC03
A02BC03,PK_corpus,A,A02,A02B,A02BC,A02BC03
A02BC03,Twosides,A,A02,A02B,A02BC,A02BC03
A02BC04,CANCER,A,A02,A02B,A02BC,A02BC04
A02BC04,DanishDB,A,A02,A02B,A02BC,A02BC04
A02BC04,Drugbank,A,A02,A02B,A02BC,A02BC04
A02BC04,HEP,A,A02,A02B,A02BC,A02BC04
A02BC04,HIV,A,A02,A02B,A02BC,A02BC04
A02BC04,KEGG,A,A02,A02B,A02BC,A02BC04
A02BC04,NDFRT,A,A02,A02B,A02BC,A02BC04
A02BC04,ONC_HIGH,A,A02,A02B,A02BC,A02BC04
A02BC04,ONC_NI,A,A02,A02B,A02BC,A02BC04
A02BC04,Twosides,A,A02,A02B,A02BC,A02BC04
A02BC05,CANCER,A,A02,A02B,A02BC,A02BC05
A02BC05,Corpus_2011,A,A02,A02B,A02BC,A02BC05
A02BC05,Corpus_2013,A,A02,A02B,A02BC,A02BC05
A02BC05,DanishDB,A,A02,A02B,A02BC,A02BC05
A02BC05,Drugbank,A,A02,A02B,A02BC,A02BC05
A02BC05,HEP,A,A02,A02B,A02BC,A02BC05
A02BC05,HIV,A,A02,A02B,A02BC,A02BC05
A02BC05,KEGG,A,A02,A02B,A02BC,A02BC05
A02BC05,NDFRT,A,A02,A02B,A02BC,A02BC05
A02BC05,NLM_corpus,A,A02,A02B,A02BC,A02BC05
A02BC05,Twosides,A,A02,A02B,A02BC,A02BC05
A02BC53,CANCER,A,A02,A02B,A02BC,A02BC53
A02BC53,Corpus_2011,A,A02,A02B,A02BC,A02BC53
A02BC53,Corpus_2013,A,A02,A02B,A02BC,A02BC53
A02BC53,Drugbank,A,A02,A02B,A02BC,A02BC53
A02BC53,HEP,A,A02,A02B,A02BC,A02BC53
A02BC53,HIV,A,A02,A02B,A02BC,A02BC53
A02BC53,NLM_corpus,A,A02,A02B,A02BC,A02BC53
A02BC53,ONC_HIGH,A,A02,A02B,A02BC,A02BC53
A02BC53,ONC_NI,A,A02,A02B,A02BC,A02BC53
A02BC53,PK_corpus,A,A02,A02B,A02BC,A02BC53
A02BC54,CANCER,A,A02,A02B,A02BC,A02BC54
A02BC54,Drugbank,A,A02,A02B,A02BC,A02BC54
A02BC54,HEP,A,A02,A02B,A02BC,A02BC54
A02BC54,HIV,A,A02,A02B,A02BC,A02BC54
A02BC54,ONC_HIGH,A,A02,A02B,A02BC,A02BC54
A02BC54,ONC_NI,A,A02,A02B,A02BC,A02BC54
A02BD01,CANCER,A,A02,A02B,A02BD,A02BD01
A02BD01,Corpus_2011,A,A02,A02B,A02BD,A02BD01
A02BD01,Corpus_2013,A,A02,A02B,A02BD,A02BD01
A02BD01,CredibleMeds,A,A02,A02B,A02BD,A02BD01
A02BD01,Drugbank,A,A02,A02B,A02BD,A02BD01
A02BD01,HEP,A,A02,A02B,A02BD,A02BD01
A02BD01,HIV,A,A02,A02B,A02BD,A02BD01
A02BD01,NLM_corpus,A,A02,A02B,A02BD,A02BD01
A02BD01,ONC_HIGH,A,A02,A02B,A02BD,A02BD01
A02BD01,ONC_NI,A,A02,A02B,A02BD,A02BD01
A02BD01,PK_corpus,A,A02,A02B,A02BD,A02BD01
A02BD02,CANCER,A,A02,A02B,A02BD,A02BD02
A02BD02,Corpus_2011,A,A02,A02B,A02BD,A02BD02
A02BD02,Corpus_2013,A,A02,A02B,A02BD,A02BD02
A02BD02,CredibleMeds,A,A02,A02B,A02BD,A02BD02
A02BD02,Drugbank,A,A02,A02B,A02BD,A02BD02
A02BD02,HEP,A,A02,A02B,A02BD,A02BD02
A02BD02,HIV,A,A02,A02B,A02BD,A02BD02
A02BD02,NLM_corpus,A,A02,A02B,A02BD,A02BD02
A02BD02,ONC_HIGH,A,A02,A02B,A02BD,A02BD02
A02BD02,ONC_NI,A,A02,A02B,A02BD,A02BD02
A02BD02,PK_corpus,A,A02,A02B,A02BD,A02BD02
A02BD03,CANCER,A,A02,A02B,A02BD,A02BD03
A02BD03,Corpus_2011,A,A02,A02B,A02BD,A02BD03
A02BD03,Corpus_2013,A,A02,A02B,A02BD,A02BD03
A02BD03,CredibleMeds,A,A02,A02B,A02BD,A02BD03
A02BD03,Drugbank,A,A02,A02B,A02BD,A02BD03
A02BD03,HEP,A,A02,A02B,A02BD,A02BD03
A02BD03,HIV,A,A02,A02B,A02BD,A02BD03
A02BD03,KEGG,A,A02,A02B,A02BD,A02BD03
A02BD03,NLM_corpus,A,A02,A02B,A02BD,A02BD03
A02BD03,ONC_HIGH,A,A02,A02B,A02BD,A02BD03
A02BD03,ONC_NI,A,A02,A02B,A02BD,A02BD03
A02BD03,PK_corpus,A,A02,A02B,A02BD,A02BD03
A02BD04,CANCER,A,A02,A02B,A02BD,A02BD04
A02BD04,Corpus_2011,A,A02,A02B,A02BD,A02BD04
A02BD04,Corpus_2013,A,A02,A02B,A02BD,A02BD04
A02BD04,CredibleMeds,A,A02,A02B,A02BD,A02BD04
A02BD04,Drugbank,A,A02,A02B,A02BD,A02BD04
A02BD04,HEP,A,A02,A02B,A02BD,A02BD04
A02BD04,HIV,A,A02,A02B,A02BD,A02BD04
A02BD04,NLM_corpus,A,A02,A02B,A02BD,A02BD04
A02BD04,ONC_HIGH,A,A02,A02B,A02BD,A02BD04
A02BD04,ONC_NI,A,A02,A02B,A02BD,A02BD04
A02BD04,PK_corpus,A,A02,A02B,A02BD,A02BD04
A02BD05,CANCER,A,A02,A02B,A02BD,A02BD05
A02BD05,Corpus_2011,A,A02,A02B,A02BD,A02BD05
A02BD05,Corpus_2013,A,A02,A02B,A02BD,A02BD05
A02BD05,CredibleMeds,A,A02,A02B,A02BD,A02BD05
A02BD05,Drugbank,A,A02,A02B,A02BD,A02BD05
A02BD05,HEP,A,A02,A02B,A02BD,A02BD05
A02BD05,HIV,A,A02,A02B,A02BD,A02BD05
A02BD05,NLM_corpus,A,A02,A02B,A02BD,A02BD05
A02BD05,ONC_HIGH,A,A02,A02B,A02BD,A02BD05
A02BD05,ONC_NI,A,A02,A02B,A02BD,A02BD05
A02BD05,PK_corpus,A,A02,A02B,A02BD,A02BD05
A02BD06,CANCER,A,A02,A02B,A02BD,A02BD06
A02BD06,Corpus_2011,A,A02,A02B,A02BD,A02BD06
A02BD06,Corpus_2013,A,A02,A02B,A02BD,A02BD06
A02BD06,CredibleMeds,A,A02,A02B,A02BD,A02BD06
A02BD06,Drugbank,A,A02,A02B,A02BD,A02BD06
A02BD06,HEP,A,A02,A02B,A02BD,A02BD06
A02BD06,HIV,A,A02,A02B,A02BD,A02BD06
A02BD06,NLM_corpus,A,A02,A02B,A02BD,A02BD06
A02BD06,ONC_HIGH,A,A02,A02B,A02BD,A02BD06
A02BD06,PK_corpus,A,A02,A02B,A02BD,A02BD06
A02BD07,CANCER,A,A02,A02B,A02BD,A02BD07
A02BD07,Corpus_2011,A,A02,A02B,A02BD,A02BD07
A02BD07,Corpus_2013,A,A02,A02B,A02BD,A02BD07
A02BD07,CredibleMeds,A,A02,A02B,A02BD,A02BD07
A02BD07,Drugbank,A,A02,A02B,A02BD,A02BD07
A02BD07,HEP,A,A02,A02B,A02BD,A02BD07
A02BD07,HIV,A,A02,A02B,A02BD,A02BD07
A02BD07,KEGG,A,A02,A02B,A02BD,A02BD07
A02BD07,NLM_corpus,A,A02,A02B,A02BD,A02BD07
A02BD07,ONC_HIGH,A,A02,A02B,A02BD,A02BD07
A02BD07,ONC_NI,A,A02,A02B,A02BD,A02BD07
A02BD07,PK_corpus,A,A02,A02B,A02BD,A02BD07
A02BD08,CANCER,A,A02,A02B,A02BD,A02BD08
A02BD08,Corpus_2011,A,A02,A02B,A02BD,A02BD08
A02BD08,Corpus_2013,A,A02,A02B,A02BD,A02BD08
A02BD08,CredibleMeds,A,A02,A02B,A02BD,A02BD08
A02BD08,Drugbank,A,A02,A02B,A02BD,A02BD08
A02BD08,HEP,A,A02,A02B,A02BD,A02BD08
A02BD08,HIV,A,A02,A02B,A02BD,A02BD08
A02BD08,NLM_corpus,A,A02,A02B,A02BD,A02BD08
A02BD08,PK_corpus,A,A02,A02B,A02BD,A02BD08
A02BD09,CANCER,A,A02,A02B,A02BD,A02BD09
A02BD09,Corpus_2011,A,A02,A02B,A02BD,A02BD09
A02BD09,Corpus_2013,A,A02,A02B,A02BD,A02BD09
A02BD09,CredibleMeds,A,A02,A02B,A02BD,A02BD09
A02BD09,Drugbank,A,A02,A02B,A02BD,A02BD09
A02BD09,HEP,A,A02,A02B,A02BD,A02BD09
A02BD09,HIV,A,A02,A02B,A02BD,A02BD09
A02BD09,NLM_corpus,A,A02,A02B,A02BD,A02BD09
A02BD09,ONC_HIGH,A,A02,A02B,A02BD,A02BD09
A02BD09,ONC_NI,A,A02,A02B,A02BD,A02BD09
A02BD09,PK_corpus,A,A02,A02B,A02BD,A02BD09
A02BD10,CANCER,A,A02,A02B,A02BD,A02BD10
A02BD10,Corpus_2011,A,A02,A02B,A02BD,A02BD10
A02BD10,Corpus_2013,A,A02,A02B,A02BD,A02BD10
A02BD10,CredibleMeds,A,A02,A02B,A02BD,A02BD10
A02BD10,Drugbank,A,A02,A02B,A02BD,A02BD10
A02BD10,HEP,A,A02,A02B,A02BD,A02BD10
A02BD10,HIV,A,A02,A02B,A02BD,A02BD10
A02BD10,NLM_corpus,A,A02,A02B,A02BD,A02BD10
A02BD10,ONC_HIGH,A,A02,A02B,A02BD,A02BD10
A02BD10,ONC_NI,A,A02,A02B,A02BD,A02BD10
A02BD10,PK_corpus,A,A02,A02B,A02BD,A02BD10
A02BD11,CANCER,A,A02,A02B,A02BD,A02BD11
A02BD11,Corpus_2011,A,A02,A02B,A02BD,A02BD11
A02BD11,Corpus_2013,A,A02,A02B,A02BD,A02BD11
A02BD11,CredibleMeds,A,A02,A02B,A02BD,A02BD11
A02BD11,Drugbank,A,A02,A02B,A02BD,A02BD11
A02BD11,HEP,A,A02,A02B,A02BD,A02BD11
A02BD11,HIV,A,A02,A02B,A02BD,A02BD11
A02BD11,NLM_corpus,A,A02,A02B,A02BD,A02BD11
A02BD11,ONC_HIGH,A,A02,A02B,A02BD,A02BD11
A02BD11,ONC_NI,A,A02,A02B,A02BD,A02BD11
A02BD11,PK_corpus,A,A02,A02B,A02BD,A02BD11
A02AA,CANCER,A,A02,A02A,A02AA,A02AA
A02AA,HEP,A,A02,A02A,A02AA,A02AA
A02AA,HIV,A,A02,A02A,A02AA,A02AA
A02AA01,CANCER,A,A02,A02A,A02AA,A02AA01
A02AA01,Drugbank,A,A02,A02A,A02AA,A02AA01
A02AA01,HEP,A,A02,A02A,A02AA,A02AA01
A02AA01,HIV,A,A02,A02A,A02AA,A02AA01
A02AA01,KEGG,A,A02,A02A,A02AA,A02AA01
A02AA01,NDFRT,A,A02,A02A,A02AA,A02AA01
A02AA01,Twosides,A,A02,A02A,A02AA,A02AA01
A02AA02,CANCER,A,A02,A02A,A02AA,A02AA02
A02AA02,Drugbank,A,A02,A02A,A02AA,A02AA02
A02AA02,HEP,A,A02,A02A,A02AA,A02AA02
A02AA02,HIV,A,A02,A02A,A02AA,A02AA02
A02AA02,KEGG,A,A02,A02A,A02AA,A02AA02
A02AA02,NDFRT,A,A02,A02A,A02AA,A02AA02
A02AA02,ONC_NI,A,A02,A02A,A02AA,A02AA02
A02AA02,Twosides,A,A02,A02A,A02AA,A02AA02
A02AA03,CANCER,A,A02,A02A,A02AA,A02AA03
A02AA03,Drugbank,A,A02,A02A,A02AA,A02AA03
A02AA03,HEP,A,A02,A02A,A02AA,A02AA03
A02AA03,HIV,A,A02,A02A,A02AA,A02AA03
A02AA04,CANCER,A,A02,A02A,A02AA,A02AA04
A02AA04,DanishDB,A,A02,A02A,A02AA,A02AA04
A02AA04,Drugbank,A,A02,A02A,A02AA,A02AA04
A02AA04,HEP,A,A02,A02A,A02AA,A02AA04
A02AA04,HIV,A,A02,A02A,A02AA,A02AA04
A02AA04,KEGG,A,A02,A02A,A02AA,A02AA04
A02AA04,NDFRT,A,A02,A02A,A02AA,A02AA04
A02AA04,Twosides,A,A02,A02A,A02AA,A02AA04
A02AA05,CANCER,A,A02,A02A,A02AA,A02AA05
A02AA05,Drugbank,A,A02,A02A,A02AA,A02AA05
A02AA05,HEP,A,A02,A02A,A02AA,A02AA05
A02AA05,HIV,A,A02,A02A,A02AA,A02AA05
A02AA05,KEGG,A,A02,A02A,A02AA,A02AA05
A03AE01,CANCER,A,A03,A03A,A03AE,A03AE01
A03AE01,Corpus_2011,A,A03,A03A,A03AE,A03AE01
A03AE01,Corpus_2013,A,A03,A03A,A03AE,A03AE01
A03AE01,Drugbank,A,A03,A03A,A03AE,A03AE01
A03AE01,HIV,A,A03,A03A,A03AE,A03AE01
A03AE01,KEGG,A,A03,A03A,A03AE,A03AE01
A03AE01,NDFRT,A,A03,A03A,A03AE,A03AE01
A03AE01,Twosides,A,A03,A03A,A03AE,A03AE01
A03FA01,CANCER,A,A03,A03F,A03FA,A03FA01
A03FA01,Corpus_2011,A,A03,A03F,A03FA,A03FA01
A03FA01,Corpus_2013,A,A03,A03F,A03FA,A03FA01
A03FA01,DanishDB,A,A03,A03F,A03FA,A03FA01
A03FA01,Drugbank,A,A03,A03F,A03FA,A03FA01
A03FA01,HEP,A,A03,A03F,A03FA,A03FA01
A03FA01,HIV,A,A03,A03F,A03FA,A03FA01
A03FA01,KEGG,A,A03,A03F,A03FA,A03FA01
A03FA01,NDFRT,A,A03,A03F,A03FA,A03FA01
A03FA01,NLM_corpus,A,A03,A03F,A03FA,A03FA01
A03FA01,PK_corpus,A,A03,A03F,A03FA,A03FA01
A03FA01,Twosides,A,A03,A03F,A03FA,A03FA01
A03FA02,CANCER,A,A03,A03F,A03FA,A03FA02
A03FA02,Corpus_2011,A,A03,A03F,A03FA,A03FA02
A03FA02,Corpus_2013,A,A03,A03F,A03FA,A03FA02
A03FA02,Drugbank,A,A03,A03F,A03FA,A03FA02
A03FA02,HEP,A,A03,A03F,A03FA,A03FA02
A03FA02,HIV,A,A03,A03F,A03FA,A03FA02
A03FA02,KEGG,A,A03,A03F,A03FA,A03FA02
A03FA02,NDFRT,A,A03,A03F,A03FA,A03FA02
A03FA02,ONC_HIGH,A,A03,A03F,A03FA,A03FA02
A03FA02,PK_corpus,A,A03,A03F,A03FA,A03FA02
A03FA02,Twosides,A,A03,A03F,A03FA,A03FA02
A03FA03,CANCER,A,A03,A03F,A03FA,A03FA03
A03FA03,DanishDB,A,A03,A03F,A03FA,A03FA03
A03FA03,Drugbank,A,A03,A03F,A03FA,A03FA03
A03FA03,HEP,A,A03,A03F,A03FA,A03FA03
A03FA03,HIV,A,A03,A03F,A03FA,A03FA03
A03FA03,KEGG,A,A03,A03F,A03FA,A03FA03
A03FA03,NDFRT,A,A03,A03F,A03FA,A03FA03
A03FA03,ONC_HIGH,A,A03,A03F,A03FA,A03FA03
A03FA03,Twosides,A,A03,A03F,A03FA,A03FA03
A04AD10,CANCER,A,A04,A04A,A04AD,A04AD10
A04AD10,Drugbank,A,A04,A04A,A04AD,A04AD10
A04AD10,HIV,A,A04,A04A,A04AD,A04AD10
A04AD10,KEGG,A,A04,A04A,A04AD,A04AD10
A04AD10,Twosides,A,A04,A04A,A04AD,A04AD10
A04AD12,CANCER,A,A04,A04A,A04AD,A04AD12
A04AD12,Corpus_2011,A,A04,A04A,A04AD,A04AD12
A04AD12,Corpus_2013,A,A04,A04A,A04AD,A04AD12
A04AD12,DanishDB,A,A04,A04A,A04AD,A04AD12
A04AD12,Drugbank,A,A04,A04A,A04AD,A04AD12
A04AD12,HEP,A,A04,A04A,A04AD,A04AD12
A04AD12,HIV,A,A04,A04A,A04AD,A04AD12
A04AD12,KEGG,A,A04,A04A,A04AD,A04AD12
A04AD12,NDFRT,A,A04,A04A,A04AD,A04AD12
A04AD12,ONC_HIGH,A,A04,A04A,A04AD,A04AD12
A04AD12,Twosides,A,A04,A04A,A04AD,A04AD12
A04AA01,CANCER,A,A04,A04A,A04AA,A04AA01
A04AA01,Corpus_2011,A,A04,A04A,A04AA,A04AA01
